"﻿Product",Product type,Location,SFDC Produktkode / sti,License,On-prem maturity,Cloud Maturity,Owner,Champions,Dependencies,Property," 1"," 2"," 3"," 4"," 5"," 6",Markets,Location 1,Showstoppers,Suggested Solution,Comment,Market," 7"
One Button start-up,Service,On-prem,,,NA,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,X,X,,X,,,,,Greenfield and Brownfield,Continuous processes,
Automated well integrity test,Service,On-prem,,,NA,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,,,,,,,,,Greenfield and Brownfield,Oil & Gas,
Automated well deduction test (ADT),Service,On-prem,,,NA,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,,,,,,,,,Greenfield and Brownfield,Oil & Gas,
"Slug Management ",Solution,On-prem,,,9,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,,,,,,,,,Greenfield and Brownfield,Oil & Gas,
Autopilot for flowline,Solution,On-prem,,,9,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,,,,,,,,,Greenfield and Brownfield,Oil & Gas,
Basic and Advanced well control,Solution,On-prem,,,9,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,,,,,,,,,Greenfield and Brownfield,Oil & Gas,
Hydrocyclone control,Solution,On-prem,,,8,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",800xA,,,,,,,,,,,,Greenfield and Brownfield,Oil & Gas,
Advanced Separator control,Solution,On-prem,,,9,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,,,,,,,,,Greenfield and Brownfield,Oil & Gas,
Library of control solutions,Solution,On-prem,,,,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",800xA,,,,X,,,X,,,,,Greenfield and Brownfield,Continuous processes,
IMS Applications,,,,,,,,,,,,,,,,,,,,,,,
Barrier test,Application,On-prem,,,9,2,ABB NO Digital,Knut Stark,,,,,,,,,,,,,,,
Reports,Application,On-prem,,,9,1,ABB NO Digital,Knut Stark,,,,,,,,,,,,,,,
Equipment model,Application,On-prem,,,9,1,ABB NO Digital,Knut Stark,,,,,,,,,,,,,,,
Chemical consumption,Application,On-prem,,,9,3,ABB NO Digital,Knut Stark,,,,,,,,,,,,,,,
Tuning History,Application,On-prem,,,9,2,ABB NO Digital,Knut Stark,,,,,,,,,,,,,,,
Subsea Valve Signature,Application,On-prem,,,9,3,ABB NO Digital,Knut Stark,,,,,,,,,,,,,,,
INM,Application,On-prem,,,9,1,ABB NO Digital,Knut Stark,,,,,,,,,,,,,,,
RTM,Application,On-prem,,,9,1,ABB NO Digital,Knut Stark,,,,,,,,,,,,,,,
Shift Report,Application,On-prem,,,9,2,ABB NO Digital,Knut Stark,,,,,,,,,,,Cloud solution depend on Blocklog in cloud,,,,
"API service ",Application,On-prem,,,9,1,ABB NO Digital,Knut Stark,,,,,,,,,,,Depend on SafetyInsight and AlarmInsight,,,,
Cyber Security: Svein Henry Hagen,,,,,,,,,,,,,,,,,,,,,,,
Cyber Security Benchmark,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security Fingerprint,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security Risk Assessment,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security Workplace,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security Updates,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security Malware Protection,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security Backup & Recovery,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security Asset Inventory,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security Analytics,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security Application Allowlisting,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security System Hardening,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security Network Monitoring,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Cyber Security Event Monitoring,,,,,,,,"Svein Henry Hagen, Ignacio Strømsnes",,,,,,,,,,,,,,,
Special Applications,,,,,,,,,,,,,,,,,,,,,,,
Structur & Environmental Monitoring (SEM DAS),Appliction / Solution,On-prem,,,9,,ABB NO Digital,"Erling Tyse, Knut Atle Landa",,,,X,,X,,,,,,,Struktur overvåkning for Troll A,,
